"Step","genial-sweep-15 - Train_Mean_Angular","genial-sweep-15 - Train_Mean_Angular__MIN","genial-sweep-15 - Train_Mean_Angular__MAX","hopeful-sweep-14 - Train_Mean_Angular","hopeful-sweep-14 - Train_Mean_Angular__MIN","hopeful-sweep-14 - Train_Mean_Angular__MAX","deep-sweep-13 - Train_Mean_Angular","deep-sweep-13 - Train_Mean_Angular__MIN","deep-sweep-13 - Train_Mean_Angular__MAX","gallant-sweep-12 - Train_Mean_Angular","gallant-sweep-12 - Train_Mean_Angular__MIN","gallant-sweep-12 - Train_Mean_Angular__MAX","visionary-sweep-11 - Train_Mean_Angular","visionary-sweep-11 - Train_Mean_Angular__MIN","visionary-sweep-11 - Train_Mean_Angular__MAX","resilient-sweep-10 - Train_Mean_Angular","resilient-sweep-10 - Train_Mean_Angular__MIN","resilient-sweep-10 - Train_Mean_Angular__MAX","fragrant-sweep-9 - Train_Mean_Angular","fragrant-sweep-9 - Train_Mean_Angular__MIN","fragrant-sweep-9 - Train_Mean_Angular__MAX","young-sweep-8 - Train_Mean_Angular","young-sweep-8 - Train_Mean_Angular__MIN","young-sweep-8 - Train_Mean_Angular__MAX","fine-sweep-6 - Train_Mean_Angular","fine-sweep-6 - Train_Mean_Angular__MIN","fine-sweep-6 - Train_Mean_Angular__MAX","vivid-sweep-5 - Train_Mean_Angular","vivid-sweep-5 - Train_Mean_Angular__MIN","vivid-sweep-5 - Train_Mean_Angular__MAX"
"93","2.47523832321167","2.47523832321167","2.47523832321167","2.1753411293029785","2.1753411293029785","2.1753411293029785","2.2061667442321777","2.2061667442321777","2.2061667442321777","2.2011377811431885","2.2011377811431885","2.2011377811431885","2.0791256427764893","2.0791256427764893","2.0791256427764893","2.1899867057800293","2.1899867057800293","2.1899867057800293","2.079008102416992","2.079008102416992","2.079008102416992","2.1031999588012695","2.1031999588012695","2.1031999588012695","2.2332308292388916","2.2332308292388916","2.2332308292388916","1.9843770265579224","1.9843770265579224","1.9843770265579224"
"96","1.6539711952209473","1.6539711952209473","1.6539711952209473","2.3195321559906006","2.3195321559906006","2.3195321559906006","2.161001682281494","2.161001682281494","2.161001682281494","2.2216615676879883","2.2216615676879883","2.2216615676879883","2.8544936180114746","2.8544936180114746","2.8544936180114746","2.112577199935913","2.112577199935913","2.112577199935913","2.0200538635253906","2.0200538635253906","2.0200538635253906","2.2705512046813965","2.2705512046813965","2.2705512046813965","1.9095792770385742","1.9095792770385742","1.9095792770385742","2.3937010765075684","2.3937010765075684","2.3937010765075684"
"99","2.2559924125671387","2.2559924125671387","2.2559924125671387","2.3952860832214355","2.3952860832214355","2.3952860832214355","2.243553638458252","2.243553638458252","2.243553638458252","2.0973057746887207","2.0973057746887207","2.0973057746887207","2.7109501361846924","2.7109501361846924","2.7109501361846924","2.013437509536743","2.013437509536743","2.013437509536743","2.3289310932159424","2.3289310932159424","2.3289310932159424","2.623891830444336","2.623891830444336","2.623891830444336","2.119551420211792","2.119551420211792","2.119551420211792","2.3301520347595215","2.3301520347595215","2.3301520347595215"
"102","2.19380259513855","2.19380259513855","2.19380259513855","1.481571912765503","1.481571912765503","1.481571912765503","2.139054298400879","2.139054298400879","2.139054298400879","2.189760208129883","2.189760208129883","2.189760208129883","2.5717830657958984","2.5717830657958984","2.5717830657958984","2.1846420764923096","2.1846420764923096","2.1846420764923096","2.089057683944702","2.089057683944702","2.089057683944702","2.169724941253662","2.169724941253662","2.169724941253662","1.9505202770233154","1.9505202770233154","1.9505202770233154","2.614492893218994","2.614492893218994","2.614492893218994"
"105","2.820807456970215","2.820807456970215","2.820807456970215","2.8862640857696533","2.8862640857696533","2.8862640857696533","2.1410470008850098","2.1410470008850098","2.1410470008850098","2.092617988586426","2.092617988586426","2.092617988586426","1.9736030101776123","1.9736030101776123","1.9736030101776123","2.025674343109131","2.025674343109131","2.025674343109131","2.1019861698150635","2.1019861698150635","2.1019861698150635","1.966780424118042","1.966780424118042","1.966780424118042","2.002697706222534","2.002697706222534","2.002697706222534","2.148777484893799","2.148777484893799","2.148777484893799"
"108","2.033616065979004","2.033616065979004","2.033616065979004","1.628678798675537","1.628678798675537","1.628678798675537","2.2364306449890137","2.2364306449890137","2.2364306449890137","2.4119346141815186","2.4119346141815186","2.4119346141815186","2.19857120513916","2.19857120513916","2.19857120513916","2.0454213619232178","2.0454213619232178","2.0454213619232178","2.6704559326171875","2.6704559326171875","2.6704559326171875","2.4380881786346436","2.4380881786346436","2.4380881786346436","2.228360176086426","2.228360176086426","2.228360176086426","1.991981863975525","1.991981863975525","1.991981863975525"
"111","2.411045551300049","2.411045551300049","2.411045551300049","1.8917460441589355","1.8917460441589355","1.8917460441589355","2.3129193782806396","2.3129193782806396","2.3129193782806396","2.0588691234588623","2.0588691234588623","2.0588691234588623","2.877943992614746","2.877943992614746","2.877943992614746","2.0963380336761475","2.0963380336761475","2.0963380336761475","2.132946014404297","2.132946014404297","2.132946014404297","2.1958975791931152","2.1958975791931152","2.1958975791931152","2.1601366996765137","2.1601366996765137","2.1601366996765137","2.382352828979492","2.382352828979492","2.382352828979492"
"114","2.7430644035339355","2.7430644035339355","2.7430644035339355","2.2111639976501465","2.2111639976501465","2.2111639976501465","2.1681599617004395","2.1681599617004395","2.1681599617004395","2.193699836730957","2.193699836730957","2.193699836730957","2.252987861633301","2.252987861633301","2.252987861633301","1.9122211933135986","1.9122211933135986","1.9122211933135986","2.0556607246398926","2.0556607246398926","2.0556607246398926","2.011240005493164","2.011240005493164","2.011240005493164","2.43571138381958","2.43571138381958","2.43571138381958","2.3688859939575195","2.3688859939575195","2.3688859939575195"
"117","2.3622918128967285","2.3622918128967285","2.3622918128967285","2.2562878131866455","2.2562878131866455","2.2562878131866455","2.185478925704956","2.185478925704956","2.185478925704956","1.9861820936203003","1.9861820936203003","1.9861820936203003","2.403036117553711","2.403036117553711","2.403036117553711","2.215723752975464","2.215723752975464","2.215723752975464","2.396980047225952","2.396980047225952","2.396980047225952","2.0187864303588867","2.0187864303588867","2.0187864303588867","2.142261028289795","2.142261028289795","2.142261028289795","2.384490966796875","2.384490966796875","2.384490966796875"
"120","2.346857786178589","2.346857786178589","2.346857786178589","2.2088561058044434","2.2088561058044434","2.2088561058044434","2.346756935119629","2.346756935119629","2.346756935119629","2.116787910461426","2.116787910461426","2.116787910461426","3.0192880630493164","3.0192880630493164","3.0192880630493164","2.0718326568603516","2.0718326568603516","2.0718326568603516","2.1187541484832764","2.1187541484832764","2.1187541484832764","2.262340545654297","2.262340545654297","2.262340545654297","2.422109603881836","2.422109603881836","2.422109603881836","2.1020026206970215","2.1020026206970215","2.1020026206970215"
