"Step","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_P3P","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MAX"
"1960","","","","163.62040143009463","163.62040143009463","163.62040143009463","","","","","","","","",""
"1961","59.204891225941026","59.204891225941026","59.204891225941026","","","","","","","","","","","",""
"1962","","","","","","","","","","","","","37.41995524185046","37.41995524185046","37.41995524185046"
"1966","","","","","","","","","","2.489310603986297","2.489310603986297","2.489310603986297","","",""
"1967","","","","","","","48.20095818574828","48.20095818574828","48.20095818574828","","","","","",""
"1969","","","","83.08464877984477","83.08464877984477","83.08464877984477","","","","","","","","",""
"1970","15.90249124879847","15.90249124879847","15.90249124879847","","","","","","","","","","","",""
"1971","","","","","","","","","","","","","138.88482418703336","138.88482418703336","138.88482418703336"
"1975","","","","","","","","","","37.124864336603565","37.124864336603565","37.124864336603565","","",""
"1976","","","","","","","102.68869231534323","102.68869231534323","102.68869231534323","","","","","",""
"1978","","","","14.093163202044082","14.093163202044082","14.093163202044082","","","","","","","","",""
"1979","20.69486974876341","20.69486974876341","20.69486974876341","","","","","","","","","","","",""
"1980","","","","","","","","","","","","","82.31895568735466","82.31895568735466","82.31895568735466"
"1984","","","","","","","","","","34.85068225330113","34.85068225330113","34.85068225330113","","",""
"1985","","","","","","","83.60165076804182","83.60165076804182","83.60165076804182","","","","","",""
"1987","","","","164.45196369455473","164.45196369455473","164.45196369455473","","","","","","","","",""
"1988","54.01184722483768","54.01184722483768","54.01184722483768","","","","","","","","","","","",""
"1989","","","","","","","","","","","","","72.84265719371128","72.84265719371128","72.84265719371128"
"1993","","","","","","","","","","5.824607789866263","5.824607789866263","5.824607789866263","","",""
"1994","","","","","","","91.30171510634712","91.30171510634712","91.30171510634712","","","","","",""
"1996","","","","93.2428607285083","93.2428607285083","93.2428607285083","","","","","","","","",""
"1997","108.99197141989146","108.99197141989146","108.99197141989146","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","77.69144584869304","77.69144584869304","77.69144584869304"
"2002","","","","","","","","","","95.09208749705574","95.09208749705574","95.09208749705574","","",""
"2003","","","","","","","91.70580847187539","91.70580847187539","91.70580847187539","","","","","",""
"2005","","","","57.43422274813419","57.43422274813419","57.43422274813419","","","","","","","","",""
"2006","27.71748584214467","27.71748584214467","27.71748584214467","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","83.68668685480768","83.68668685480768","83.68668685480768"
"2011","","","","","","","","","","3.6706370827255057","3.6706370827255057","3.6706370827255057","","",""
