"Step","zany-disco-38 - Test_Mean_Angular_Distance_EPNP","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MIN","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MAX","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_P3P","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MAX","zany-disco-38 - Test_Mean_Angular_Distance_AP3P","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MAX"
"2093","","","","","","","91.81819173269692","91.81819173269692","91.81819173269692","","","","","",""
"2095","","","","84.86875373047333","84.86875373047333","84.86875373047333","","","","","","","","",""
"2096","157.4318806687342","157.4318806687342","157.4318806687342","","","","","","","","","","","",""
"2097","","","","","","","","","","55.030508421317876","55.030508421317876","55.030508421317876","","",""
"2100","","","","","","","","","","","","","55.030475876419914","55.030475876419914","55.030475876419914"
"2102","","","","","","","42.33923278149382","42.33923278149382","42.33923278149382","","","","","",""
"2104","","","","100.33861922529195","100.33861922529195","100.33861922529195","","","","","","","","",""
"2105","13.965760531225527","13.965760531225527","13.965760531225527","","","","","","","","","","","",""
"2106","","","","","","","","","","111.5407846258617","111.5407846258617","111.5407846258617","","",""
"2109","","","","","","","","","","","","","13.140919577030843","13.140919577030843","13.140919577030843"
"2111","","","","","","","13.862223077038891","13.862223077038891","13.862223077038891","","","","","",""
"2113","","","","8.284263762791284","8.284263762791284","8.284263762791284","","","","","","","","",""
"2114","147.66511243405486","147.66511243405486","147.66511243405486","","","","","","","","","","","",""
"2115","","","","","","","","","","48.42681849630267","48.42681849630267","48.42681849630267","","",""
"2118","","","","","","","","","","","","","48.427123248171654","48.427123248171654","48.427123248171654"
"2120","","","","","","","123.80680498329355","123.80680498329355","123.80680498329355","","","","","",""
"2122","","","","52.100642204931944","52.100642204931944","52.100642204931944","","","","","","","","",""
"2123","169.472671650831","169.472671650831","169.472671650831","","","","","","","","","","","",""
"2124","","","","","","","","","","23.054642522432545","23.054642522432545","23.054642522432545","","",""
"2127","","","","","","","","","","","","","23.054642381747442","23.054642381747442","23.054642381747442"
"2129","","","","","","","177.85510477437703","177.85510477437703","177.85510477437703","","","","","",""
"2131","","","","21.82569505231325","21.82569505231325","21.82569505231325","","","","","","","","",""
"2132","154.12995029635854","154.12995029635854","154.12995029635854","","","","","","","","","","","",""
"2133","","","","","","","","","","72.1966667979742","72.1966667979742","72.1966667979742","","",""
"2136","","","","","","","","","","","","","72.19662663966581","72.19662663966581","72.19662663966581"
"2138","","","","","","","161.750392303223","161.750392303223","161.750392303223","","","","","",""
"2140","","","","10.302458922558486","10.302458922558486","10.302458922558486","","","","","","","","",""
"2141","135.1737804596158","135.1737804596158","135.1737804596158","","","","","","","","","","","",""
"2142","","","","","","","","","","63.91454694189335","63.91454694189335","63.91454694189335","","",""
"2145","","","","","","","","","","","","","63.9143308642288","63.9143308642288","63.9143308642288"
"2147","","","","","","","162.82239160841567","162.82239160841567","162.82239160841567","","","","","",""
"2149","","","","39.35916751562499","39.35916751562499","39.35916751562499","","","","","","","","",""
"2150","163.09706766009","163.09706766009","163.09706766009","","","","","","","","","","","",""
"2151","","","","","","","","","","34.38451980618299","34.38451980618299","34.38451980618299","","",""
"2154","","","","","","","","","","","","","34.38559052378187","34.38559052378187","34.38559052378187"
"2156","","","","","","","41.576022285360835","41.576022285360835","41.576022285360835","","","","","",""
"2158","","","","67.81233144833026","67.81233144833026","67.81233144833026","","","","","","","","",""
"2159","150.2544103642721","150.2544103642721","150.2544103642721","","","","","","","","","","","",""
"2160","","","","","","","","","","28.132142048043278","28.132142048043278","28.132142048043278","","",""
"2163","","","","","","","","","","","","","28.132131700369825","28.132131700369825","28.132131700369825"
"2165","","","","","","","176.29617686558302","176.29617686558302","176.29617686558302","","","","","",""
"2167","","","","10.784476541164821","10.784476541164821","10.784476541164821","","","","","","","","",""
"2168","148.55183319671406","148.55183319671406","148.55183319671406","","","","","","","","","","","",""
"2169","","","","","","","","","","156.51799345031662","156.51799345031662","156.51799345031662","","",""
"2172","","","","","","","","","","","","","156.5179623978641","156.5179623978641","156.5179623978641"
"2174","","","","","","","14.736413545631194","14.736413545631194","14.736413545631194","","","","","",""
"2176","","","","29.411913349617038","29.411913349617038","29.411913349617038","","","","","","","","",""
"2177","145.67853967433751","145.67853967433751","145.67853967433751","","","","","","","","","","","",""
"2178","","","","","","","","","","41.96336143453286","41.96336143453286","41.96336143453286","","",""
"2181","","","","","","","","","","","","","41.96338657328826","41.96338657328826","41.96338657328826"
"2183","","","","","","","155.9723964304807","155.9723964304807","155.9723964304807","","","","","",""
"2185","","","","75.53396246871753","75.53396246871753","75.53396246871753","","","","","","","","",""
"2186","51.01320293259252","51.01320293259252","51.01320293259252","","","","","","","","","","","",""
"2187","","","","","","","","","","8.237922685527167","8.237922685527167","8.237922685527167","","",""
"2190","","","","","","","","","","","","","14.617728879553937","14.617728879553937","14.617728879553937"
"2192","","","","","","","53.590872145817045","53.590872145817045","53.590872145817045","","","","","",""
"2194","","","","63.94376558239691","63.94376558239691","63.94376558239691","","","","","","","","",""
"2195","91.66179875993114","91.66179875993114","91.66179875993114","","","","","","","","","","","",""
"2196","","","","","","","","","","47.56028955817149","47.56028955817149","47.56028955817149","","",""
"2199","","","","","","","","","","","","","47.59145740600667","47.59145740600667","47.59145740600667"
